username,nickname,followers,source,profile_url
fyre.se,fyre.se,1481,following:karlacafee,https://tiktok.com/@fyre.se
hildashaughnessy,hildashaughnessy,216,following:karlacafee,https://tiktok.com/@hildashaughnessy
pataka.stockholm,Pataka Resturang,105,following:karlacafee,https://tiktok.com/@pataka.stockholm
italienskanrestaurang,Italienskan,89,following:karlacafee,https://tiktok.com/@italienskanrestaurang
ciaociaogrande,CiaoCiaoGrande,1727,following:karlacafee,https://tiktok.com/@ciaociaogrande
andreas.b230,andreas.b230,77,following:karlacafee,https://tiktok.com/@andreas.b230
karamgkarmo,Karam,271,following:karlacafee,https://tiktok.com/@karamgkarmo
fadihuss1975,Fadi,363,following:karlacafee,https://tiktok.com/@fadihuss1975
prettypersonyeah57,ebba iwarsson,448,following:karlacafee,https://tiktok.com/@prettypersonyeah57
omayma_cafe,omayma_nytorget,958,following:karlacafee,https://tiktok.com/@omayma_cafe
ebba.wester,Ebba.wester,658,following:karlacafee,https://tiktok.com/@ebba.wester
lollosadarangani13,Lollo,1149,following:karlacafee,https://tiktok.com/@lollosadarangani13
ameliasamuelsson,ameliasamuelsson,1427,following:karlacafee,https://tiktok.com/@ameliasamuelsson
bauer_powerr,Thea Bauer,793,following:karlacafee,https://tiktok.com/@bauer_powerr
mollyseipel,Mollyseipel,245,following:karlacafee,https://tiktok.com/@mollyseipel
yolowproow,Alvinaam,700,following:karlacafee,https://tiktok.com/@yolowproow
dosmoy321,arkoudakis,211,following:karlacafee,https://tiktok.com/@dosmoy321
spyvm0,spyvm0,1429,following:karlacafee,https://tiktok.com/@spyvm0
malinsvensson13,𝕸𝖆𝖑𝖎𝖓ツ,320,following:karlacafee,https://tiktok.com/@malinsvensson13
emmasadiii,emmasadiii,489,following:karlacafee,https://tiktok.com/@emmasadiii
mattepatte100,Mathilda Andersson,673,following:karlacafee,https://tiktok.com/@mattepatte100
deniseedman,Denise,1164,following:karlacafee,https://tiktok.com/@deniseedman
krubburgers,KRUBB Burgers,1875,following:restaurangsukai,https://tiktok.com/@krubburgers
stortorgskallaren,Stortorgskällaren,443,following:restaurangsukai,https://tiktok.com/@stortorgskallaren
fratelli.stockhol,Fratelli Stockholm,1925,following:restaurangsukai,https://tiktok.com/@fratelli.stockhol
lightvisionmarketing,lightvisionmarketing,1343,following:restaurangsukai,https://tiktok.com/@lightvisionmarketing
